1 f16c11_7.asc 3 Waypoints and terminal glide slope to IP ' F16 Aircraft ' Nov 30 2022 21:43:09
  0  0 63
time            vmach           pdynmc          dvba            psiblx          
thtblx          phiblx          alppx           phipx           alphax          
betax           erq             etbl            ppx             qqx             
rrx             VBEB1           VBEB2           VBEB3           SBEL1           
SBEL2           SBEL3           VBEL1           VBEL2           VBEL3           
dvbe            hbe             psivlx          thtvlx          alx             
anx             ayx             throttle        thrust          idle            
mil             max             stmarg          dma             dmde            
gmax            gminx           realp1          realp2          wnp             
zetp            realy1          realy2          wny             zety            
nl_gain         dwbh            wp_flag         delacx          delecx          
delrcx          alcomx          ancomx          altcom          zetlagr         
delax           delex           delrx           
-2.86428        -2.1535e-07     1.41421         -4.44916        11.4286         
-0.387425       179.811         -9.12377        31.7609         308.046         
16.8914         -994.972        179.054         36.7868         3.22687         
182.823         994.972         11.6099         -1.01134        4.23886         
4.32009         0.274748        0.77            51907.2         -2868.72        
51913.6         97931.6         -0.0275426      2.37461         -13.0907        
6.20578         -1.92915        0.321249        -2.77277        0               
0               0               0               3.47076         0.00270546      
0.399988        5094.01         1               -7.69939        -1.6402         
0               2.5649          4.08017         1000            0.7             
-6.90625        -1.63186        0               
1.8             0.543365        18587           182.818         23.0405         
0.0394007       69.6337         10.1998         -14.7843        9.8691          
-2.59002        -6.6058e-07     1.41421         -18.2953        11.3374         
-1.87818        179.936         -8.24981        31.2641         325.908         
20.7722         -994.659        178.179         40.8111         3.02276         
182.818         994.659         12.9008         -0.947386       4.14724         
4.26491         0.237677        0.77            51912.6         -2868.47        
51914.9         97933.6         -0.024309       2.09332         -13.0775        
6.20566         -1.92912        0.230752        -2.67535        0               
0               0               0               3.47126         0.00270477      
0.399987        5076.05         1               -5.1167         -1.48513        
0               2.33105         3.82525         1000            0.7             
-5.89599        -1.58375        0               
1.9             0.543399        18589.9         182.83          24              
0.674294        67.656          9.96572         -13.5882        9.6924          
-2.33028        -8.47936e-07    1.41421         -20.8722        11.0606         
-2.93345        180.078         -7.42268        30.7178         343.681         
25.0502         -994.372        177.254         44.7298         2.69297         
182.83          994.372         14.1628         -0.843961       4.04977         
4.22251         0.210573        0.77            51916.5         -2869.29        
51916.3         97937.1         -0.0198357      1.70617         -13.2074        
6.20664         -1.92942        0.0944629       -2.53118        0               
