TOF RNG ALT THETA RATE ALPHA ALPHADOT RATEDOT WDOT
0.1950 26.1653 1025.5494 0.7791 -0.1350 0.0483 -0.0834 -2.0895 3.9218
0.1960 26.4331 1025.8106 0.7790 -0.1371 0.0482 -0.0858 -2.1074 3.9542
0.1970 26.7022 1026.0731 0.7788 -0.1392 0.0482 -0.0882 -2.1251 3.9865
0.1980 26.9726 1026.3369 0.7787 -0.1413 0.0481 -0.0907 -2.1428 4.0187
0.1990 27.2443 1026.6019 0.7785 -0.1435 0.0480 -0.0931 -2.1604 4.0507
0.2000 27.5174 1026.8681 0.7784 -0.1457 0.0479 -0.0956 -2.1779 4.0825
0.2010 27.7917 1027.1357 0.7782 -0.1479 0.0478 -0.0981 -2.1954 4.1142
0.2020 28.0673 1027.4044 0.7781 -0.1501 0.0477 -0.1006 -2.2127 4.1457
0.2030 28.3443 1027.6745 0.7779 -0.1523 0.0476 -0.1031 -2.2300 4.1770
0.2040 28.6225 1027.9458 0.7778 -0.1545 0.0475 -0.1057 -2.2472 4.2081
0.2050 28.9020 1028.2183 0.7776 -0.1568 0.0474 -0.1082 -2.2643 4.2389
0.2060 29.1829 1028.4921 0.7775 -0.1590 0.0473 -0.1108 -2.2813 4.2696
0.2070 29.4650 1028.7672 0.7773 -0.1613 0.0471 -0.1134 -2.2981 4.3001
0.2080 29.7485 1029.0435 0.7772 -0.1636 0.0470 -0.1159 -2.3149 4.3303
0.2090 30.0333 1029.3211 0.7770 -0.1660 0.0469 -0.1185 -2.3315 4.3602
0.2100 30.3193 1029.5999 0.7768 -0.1683 0.0468 -0.1212 -2.3480 4.3899
0.2110 30.6067 1029.8800 0.7767 -0.1707 0.0467 -0.1238 -2.3644 4.4194
0.2120 30.8953 1030.1614 0.7765 -0.1730 0.0465 -0.1264 -2.3807 4.4486
0.2130 31.1853 1030.4440 0.7763 -0.1754 0.0464 -0.1291 -2.3968 4.4774
0.2140 31.4766 1030.7278 0.7761 -0.1778 0.0463 -0.1317 -2.4128 4.5060
