1 input_9_1_1 AGM6 Test Case.asc  Nov 30 2022 21:05:34
  0  0 53
time            vmach_m1        psiblx_m1       thtblx_m1       phiblx_m1       
SBEL1_m1        SBEL2_m1        SBEL3_m1        VBEL1_m1        VBEL2_m1        
VBEL3_m1        mseek_m1        mach_t1         SAEL1_t1        SAEL2_t1        
SAEL3_t1        VAEL1_t1        VAEL2_t1        VAEL3_t1        psivlx_t1       
thtvlx_t1       alt_t1          aax_t1          alx_t1          anx_t1          
mach_a1         SAEL1_a1        SAEL2_a1        SAEL3_a1        VAEL1_a1        
VAEL2_a1        VAEL3_a1        psivlx_a1       thtvlx_a1       alt_a1          
STCEL11_a1      STCEL12_a1      STCEL13_a1      VTCEL11_a1      VTCEL12_a1      
VTCEL13_a1      STCEL21_a1      STCEL22_a1      STCEL23_a1      VTCEL21_a1      
VTCEL22_a1      VTCEL23_a1      STCEL31_a1      STCEL32_a1      STCEL33_a1      
VTCEL31_a1      VTCEL32_a1      VTCEL33_a1      
0.948117        6483.3          0               -6894.06        296.48          
0               4.95637         0               -0.957746       6894.06         
33012           9915.09         -88.9641        2.30278         -4.26273        
0.463873        0               0               0               0               
0               0               0               0               0               
0               0               0               
23              1.16061         4.0935          12.2648         0.0945895       
7461.39         362.301         -7003.5         359.577         41.663          
-33.5344        2               0.0147099       33025.5         9888.87         
-100            2.18251         -4.49857        0               -64.1194        
-0              100             0               0.01            1               
0.948578        6779.86         0               -6889.1         296.644         
0               4.95911         0               -0.957746       6889.1          
33010.2         9903.81         -63.1761        2.36891         -5.15684        
-0.920823       0               0               0               0               
0               0               0               0               0               
0               0               0               
24              1.17018         4.47876         12.3233         0.106622        
7822.24         405.287         -7038           362.136         44.3162         
-35.4237        2               0.0147099       33027.8         9884.39         
-100            2.27043         -4.45484        0               -62.9942        
-0              100             0               0.01            1               
0.949039        7076.58         0               -6884.14        296.808         
0               4.96184         0               -0.957746       6884.14         
33027.2         9861            -67.1631        2.07783         -4.27201        
0.332885        0               0               0               0               
0               0               0               0               0               
0               0               0               
25              1.17978         4.85676         12.3518         0.116231        
8185.66         450.945         -7074.28        364.689         47.0023         
-37.1066        2               0.0147099       33030.1         9879.96         
-100            2.35747         -4.4094         0               -61.869         
-0              100             0               0.01            1               
0.9495          7373.47         0               -6879.18        296.971         
0               4.96458         0               -0.957746       6879.18         
33035.2         9857.95         -92.4222        2.58179         -5.16155        
-0.0846528      0               0               0               0               
0               0               0               0               0               
0               0               0               
26              1.18939         5.2488          12.3728         0.128853        
8551.62         499.3           -7112.15        367.232         49.7174         
-38.6086        2               0.0147099       33032.5         9875.57         
-100            2.44361         -4.36226        0               -60.7437        
-0              100             0               0.01            1               
0.949961        7670.53         0               -6874.21        297.135         
0               4.96732         0               -0.957746       6874.21         
33029           9880.79         -96.0832        2.24572         -4.23762        
-0.666382       0               0               0               0               
0               0               0               0               0               
0               0               0               
27              1.19901         5.64963         12.3661         0.140162        
8920.12         550.401         -7151.44        369.762         52.4947         
-39.9461        2               0.0147099       33035           9871.23         
-100            2.5288          -4.31343        0               -59.6185        
-0              100             0               0.01            1               
0.950422        7967.74         0               -6869.25        297.299         
0               4.97006         0               -0.957746       6869.25         
33038.4         9915.9          -180.578        2.54661         -4.43307        
0.185885        0               0               0               0               
0               0               0               0               0               
0               0               0               
28              1.20867         6.04133         12.3214         0.149255        
9291.14         604.307         -7191.98        372.29          55.3236         
-41.0971        2               0.0147099       33037.5         9866.94         
-100            2.61302         -4.26294        0               -58.4933        
-0              100             0               0.01            1               
0.950882        8265.12         0               -6864.27        297.463         
0               4.97279         0               -0.957746       6864.27         
33035.3         9866.8          -94.0601        2.1339          -4.28115        
-1.05795        0               0               0               0               
0               0               0               0               0               
0               0               0               
29              1.21837         6.42195         12.2402         0.156645        
9664.7          661.059         -7233.57        374.829         58.1841         
-42.0421        2               0.0147099       33040.2         9862.71         
-100            2.69623         -4.21081        0               -57.3681        
-0              100             0               0.01            1               
0.951343        8562.67         0               -6859.3         297.626         
0               4.97553         0               -0.957746       6859.3          
33029.6         9878.78         -91.3937        2.88001         -4.6443         
-0.166166       0               0               0               0               
0               0               0               0               0               
0               0               0               
30              1.22815         6.80677         12.1155         0.164578        
10040.8         720.683         -7275.99        377.389         61.0716         
-42.7668        2               0.0147099       33042.9         9858.52         
-100            2.7784          -4.15705        0               -56.2429        
-0              100             0               0.01            1               
0.951803        8860.38         0               -6854.32        297.79          
0               4.97827         0               -0.957746       6854.32         
33035           9862.03         -85.4083        2.11003         -4.51035        
0.0365582       0               0               0               0               
0               0               0               0               0               
0               0               0               
31              1.23802         7.19167         11.963          0.171015        
10419.5         783.217         -7319.02        379.976         64.0025         
-43.2598        2               0.01471         33045.7         9854.39         
-100            2.8595          -4.10169        0               -55.1177        
-0              100             0               0.01            1               
0.952263        9158.25         0               -6849.34        297.954         
0               4.98101         0               -0.957746       6849.34         
33048.6         9828.03         -71.9748        3.26798         -3.54444        
-0.417826       0               0               0               0               
0               0               0               0               0               
0               0               0               
32              1.24798         7.56607         11.7858         0.176001        
10800.8         848.7           -7362.44        382.585         66.9674         
-43.5471        2               0.01471         33048.6         9850.32         
-100            2.93949         -4.04475        0               -53.9925        
-0              100             0               0.01            1               
0.952724        9456.28         0               -6844.36        298.118         
0               4.98374         0               -0.957746       6844.36         
33053.4         9833.6          -91.828         3.35043         -4.41094        
0.268802        0               0               0               0               
0               0               0               0               0               
0               0               0               
33              1.25802         7.95601         11.5828         0.183275        
11184.7         917.162         -7406.04        385.224         69.9661         
-43.6153        2               0.01471         33051.6         9846.3          
-100            3.01836         -3.98625        0               -52.8673        
-0              100             0               0.01            1               
0.953184        9754.48         0               -6839.38        298.281         
0               4.98648         0               -0.957746       6839.38         
33050.8         9846.24         -102.537        3.38696         -3.6197         
-0.396495       0               0               0               0               
0               0               0               0               0               
0               0               0               
34              1.26815         8.34798         11.3321         0.188265        
11571.2         988.654         -7449.6         387.887         73.0282         
-43.468         2               0.01471         33054.7         9842.35         
-100            3.09605         -3.92621        0               -51.7421        
-0              100             0               0.01            1               
0.953644        10052.8         0               -6834.39        298.445         
0               4.98922         0               -0.957746       6834.39         
33042.6         9829.65         -47.09          2.76923         -4.02346        
0.0414409       0               0               0               0               
0               0               0               0               0               
0               0               0               
35              1.27841         8.74844         11.0484         0.193183        
11960.5         1063.24         -7492.89        390.59          76.1477         
-43.061         2               0.01471         33057.8         9838.45         
-100            3.17256         -3.86465        0               -50.6168        
-0              100             0               0.01            1               
0.954104        10351.4         0               -6829.4         298.609         
0               4.99196         0               -0.957746       6829.4          
33038           9867.08         -81.311         3.12211         -3.59775        
-0.0279941      0               0               0               0               
0               0               0               0               0               
0               0               0               
36              1.28878         9.14707         10.7393         0.196437        
12352.4         1140.97         -7535.65        393.323         79.3374         
-42.418         2               0.01471         33061           9834.62         
-100            3.24784         -3.80161        0               -49.4916        
-0              100             0               0.01            1               
0.954564        10650.1         0               -6824.4         298.773         
0               4.99469         0               -0.957746       6824.4          
33072.7         9829.46         -140.759        2.30415         -4.13558        
0.151476        0               0               0               0               
0               0               0               0               0               
0               0               0               
37              1.29926         9.53667         10.4165         0.198344        
12747.1         1221.93         -7577.64        396.088         82.5785         
-41.5422        2               0.01471         33064.3         9830.85         
-100            3.32187         -3.7371         0               -48.3664        
-0              100             0               0.01            1               
0.955023        10948.9         0               -6819.41        298.936         
0               4.99743         0               -0.957746       6819.41         
33083.7         9820.94         -157.009        3.60014         -3.84368        
-0.648095       0               0               0               0               
0               0               0               0               0               
0               0               0               
38              1.30984         9.94045         10.06           0.202096        
13144.6         1306.15         -7618.66        398.88          85.8684         
-40.4529        2               0.01471         33067.7         9827.15         
-100            3.39462         -3.67115        0               -47.2412        
-0              100             0               0.01            1               
0.955483        11247.9         0               -6814.41        299.1           
0               5.00017         0               -0.957746       6814.41         
33045.5         9861.09         -89.6347        4.06728         -3.16436        
-0.710387       0               0               0               0               
0               0               0               0               0               
0               0               0               
39              1.32055         10.3428         9.63398         0.201059        
13544.9         1393.69         -7658.46        401.705         89.2317         
-39.098         2               0.01471         33071.1         9823.51         
-100            3.46605         -3.60378        0               -46.116         
-0              100             0               0.01            1               
0.955943        11547.1         0               -6809.41        299.264         
0               5.00291         0               -0.957746       6809.41         
33078.5         9821.18         -134.383        2.79219         -4.29236        
-0.638173       0               0               0               0               
0               0               0               0               0               
0               0               0               
40              1.33142         10.7625         9.1651          0.199855        
13948           1484.63         -7696.75        404.575         92.6604         
-37.421         2               0.01471         33074.6         9819.94         
-100            3.53616         -3.53502        0               -44.9908        
-0              100             0               0.01            1               
0.956402        11846.5         0               -6804.4         299.428         
0               5.00565         0               -0.957746       6804.4          
33083.7         9824.4          -139.716        2.77204         -2.85275        
-0.150106       0               0               0               0               
0               0               0               0               0               
0               0               0               
41              1.34243         11.152          8.67031         0.192686        
14354           1579.04         -7733.2         407.481         96.1656         
-35.4364        2               0.01471         33078.2         9816.44         
-100            3.60489         -3.4649         0               -43.8656        
-0              100             0               0.01            1               
0.956862        12146           0               -6799.4         299.592         
0               5.00838         0               -0.957746       6799.4          
33087.5         9792.71         -97.0536        4.38329         -3.85334        
-0.162037       0               0               0               0               
0               0               0               0               0               
0               0               0               
42              1.35358         11.5397         8.13686         0.187486        
14763           1676.96         -7767.52        410.43          99.6832         
-33.1507        2               0.01471         33081.8         9813.01         
-100            3.67224         -3.39344        0               -42.7404        
-0              100             0               0.01            1               
0.957321        12445.6         0               -6794.39        299.755         
0               5.01112         0               -0.957746       6794.39         
33067.7         9849.48         -111.079        4.39841         -3.94886        
-0.254609       0               0               0               0               
0               0               0               0               0               
0               0               0               
43              1.3649          11.9308         7.51835         0.177122        
15174.9         1778.43         -7799.39        413.417         103.253         
-30.5252        2               0.01471         33085.5         9809.65         
-100            3.73817         -3.32068        0               -41.6152        
-0              100             0               0.01            1               
0.95778         12745.5         0               -6789.37        299.919         
0               5.01386         0               -0.957746       6789.37         
33090.1         9800.6          -108.233        3.93146         -3.38939        
0.861964        0               0               0               0               
0               0               0               0               0               
0               0               0               
44              1.37637         12.3516         6.8797          0.166272        
15589.8         1883.49         -7828.44        416.438         106.894         
-27.5126        2               0.01471         33089.3         9806.37         
-100            3.80266         -3.24663        0               -40.49          
-0              100             0               0.01            1               
0.958239        13045.5         0               -6784.36        300.083         
0               5.0166          0               -0.957746       6784.36         
33069.3         9846.35         -100.362        4.01095         -3.05774        
-0.814677       0               0               0               0               
0               0               0               0               0               
0               0               0               
45              1.38798         12.7695         6.20085         0.15245         
